"Year","Ext","Den","Calc"
1955,1.727,1.278,2.207
1956,1.575,1.26,1.985
1957,1.6,1.324,2.119
1958,1.803,1.188,2.143
1959,1.778,1.079,1.918
1960,1.702,1.088,1.852
1961,1.168,1.201,1.404
1962,1.321,1.358,1.793
1963,1.473,1.393,2.052
1964,1.803,1.383,2.494
1965,1.651,1.353,2.234
1966,1.676,1.341,2.248
1967,1.549,1.309,2.029
1968,1.854,1.243,2.305
1969,1.803,1.185,2.136
1970,1.245,1.208,1.503
1971,1.753,1.276,2.236
1972,1.537,1.299,1.996
1973,1.321,1.296,1.712
1974,1.6,1.219,1.951
1975,0.889,1.221,1.085
1976,1.473,1.226,1.807
1977,1.295,1.263,1.636
1978,1.334,1.305,1.742
1979,1.353,1.326,1.795
1980,1.372,1.347,1.848
1981,0.762,1.309,0.997
1982,2.007,1.365,2.74
1983,1.753,1.343,2.354
1984,1.905,1.347,2.566
1985,1.524,1.279,1.95
1986,1.168,1.268,1.481
1987,1.778,1.244,2.211
1988,1.575,1.143,1.8
1989,1.6,1.275,2.04
1990,0.813,1.272,1.034
1991,1.295,1.284,1.663
1992,1.295,1.252,1.622
